timestamp,suburb,street_address,meter_id,flow_rate_lpm,liters_used,pressure_kpa,temperature_c,latitude,longitude
2025-03-30 08:06:14,Paddington,121 Moray Street,WM100000,2.27,0.04,226,16.7,-27.487857,152.981805
2025-03-30 08:04:59,Milton,19 Latrobe Terrace,WM100001,10.3,0.17,236,17.4,-27.482732,153.010555
2025-03-30 08:01:39,Kangaroo Point,17 Waterworks Road,WM100002,1.72,0.03,245,17.1,-27.461917,153.029156
2025-03-30 08:07:25,Milton,144 Vulture Street,WM100003,12.32,0.21,216,17.8,-27.464694,153.04722
2025-03-30 08:08:01,South Brisbane,70 Gladstone Road,WM100004,3.92,0.07,241,16.6,-27.450369,152.987165
2025-03-30 08:06:03,Milton,55 Gladstone Road,WM100005,9.12,0.15,219,17.8,-27.45254,153.049204
2025-03-30 08:11:10,Fortitude Valley,126 Moray Street,WM100006,8.79,0.15,232,15.4,-27.473313,153.032991
2025-03-30 08:03:56,Paddington,110 Waterworks Road,WM100007,16.57,0.28,200,16.3,-27.460565,153.040029
2025-03-30 08:14:18,South Brisbane,93 Vulture Street,WM100008,13.26,0.22,244,15.8,-27.466279,152.989077
2025-03-30 08:02:39,Toowong,3 Waterworks Road,WM100009,19.25,0.32,200,16.2,-27.483015,153.033125
2025-03-30 08:11:30,West End,31 Vulture Street,WM100010,686.37,11.44,248,16.1,-27.483705,153.04056
2025-03-30 08:06:24,Kangaroo Point,81 Gladstone Road,WM100011,0.54,0.01,235,17.5,-27.490713,153.010262
2025-03-30 08:13:07,Ashgrove,80 Main Street,WM100012,945.03,15.75,240,15.2,-27.468789,153.015828
2025-03-30 08:05:10,Fortitude Valley,107 Waterworks Road,WM100013,11.14,0.19,229,16.4,-27.498198,153.047425
2025-03-30 08:13:08,Milton,9 Latrobe Terrace,WM100014,11.31,0.19,219,16.1,-27.463956,153.0212
2025-03-30 08:04:58,Toowong,22 Vulture Street,WM100015,18.53,0.31,222,16.4,-27.451021,152.987484
2025-03-30 08:07:46,Ashgrove,120 Boundary Street,WM100016,5.01,0.08,239,15.9,-27.476759,152.995369
2025-03-30 08:13:44,Toowong,129 Latrobe Terrace,WM100017,0.46,0.01,246,16.1,-27.457527,153.041568
2025-03-30 08:08:08,Milton,133 Waterworks Road,WM100018,6.05,0.1,215,18.0,-27.486305,153.035401
2025-03-30 08:10:08,New Farm,68 Sylvan Road,WM100019,17.18,0.29,229,15.5,-27.498716,152.987084
2025-03-30 08:10:13,Fortitude Valley,59 Gladstone Road,WM100020,19.42,0.32,209,17.5,-27.484283,153.035775
2025-03-30 08:00:42,Kangaroo Point,124 Boundary Street,WM100021,10.16,0.17,247,16.1,-27.483075,153.016892
2025-03-30 08:00:33,Highgate Hill,131 Main Street,WM100022,6.87,0.11,227,17.6,-27.460651,153.005248
2025-03-30 08:08:31,West End,25 Moray Street,WM100023,19.87,0.33,212,17.0,-27.496662,152.991012
2025-03-30 08:13:46,West End,2 Sylvan Road,WM100024,3.92,0.07,246,17.1,-27.469635,153.031725
2025-03-30 08:02:26,Paddington,42 Latrobe Terrace,WM100025,5.56,0.09,200,17.8,-27.470369,153.021121
2025-03-30 08:00:59,South Brisbane,102 Waterworks Road,WM100026,16.56,0.28,200,15.3,-27.475055,153.042204
2025-03-30 08:02:10,Toowong,63 Boundary Street,WM100027,9.29,0.15,237,15.2,-27.472977,152.983579
2025-03-30 08:10:38,West End,90 Gladstone Road,WM100028,16.32,0.27,204,17.2,-27.454072,153.029779
2025-03-30 08:04:25,Toowong,106 Boundary Street,WM100029,12.58,0.21,217,15.2,-27.485223,152.998451
2025-03-30 08:05:33,Kangaroo Point,20 Waterworks Road,WM100030,18.68,0.31,218,16.9,-27.471923,153.016601
2025-03-30 08:02:06,Kangaroo Point,130 Moray Street,WM100031,19.34,0.32,227,16.4,-27.461954,153.045597
2025-03-30 08:09:12,Toowong,13 Boundary Street,WM100032,9.74,0.16,245,17.0,-27.458875,153.020956
2025-03-30 08:04:25,South Brisbane,68 Waterworks Road,WM100033,7.26,0.12,246,15.6,-27.459984,152.992093
2025-03-30 08:04:54,New Farm,46 Moray Street,WM100034,12.67,0.21,250,15.1,-27.456789,152.986724
2025-03-30 08:03:47,West End,118 Main Street,WM100035,7.2,0.12,248,16.8,-27.481207,153.039927
2025-03-30 08:14:20,West End,77 Moray Street,WM100036,9.85,0.16,200,15.6,-27.499944,153.019478
2025-03-30 08:10:45,Kangaroo Point,80 Latrobe Terrace,WM100037,987.39,16.46,233,17.8,-27.457691,152.981026
2025-03-30 08:08:04,Kangaroo Point,129 Gladstone Road,WM100038,8.89,0.15,222,15.1,-27.455041,153.000586
2025-03-30 08:07:47,Ashgrove,114 Waterworks Road,WM100039,0.35,0.01,230,17.4,-27.497655,152.996048
2025-03-30 08:12:59,Kangaroo Point,44 Sylvan Road,WM100040,19.85,0.33,245,16.3,-27.466182,152.992078
2025-03-30 08:11:40,South Brisbane,3 Waterworks Road,WM100041,19.26,0.32,229,16.0,-27.455345,153.049592
2025-03-30 08:12:56,Milton,101 Waterworks Road,WM100042,19.93,0.33,233,15.8,-27.475908,153.016198
2025-03-30 08:14:36,Highgate Hill,139 Vulture Street,WM100043,2.51,0.04,244,15.5,-27.465176,152.989696
2025-03-30 08:07:20,West End,47 Moray Street,WM100044,17.2,0.29,249,15.7,-27.463423,153.027361
2025-03-30 08:11:29,Kangaroo Point,11 Boundary Street,WM100045,17.93,0.3,212,17.5,-27.463354,153.002303
